Endpoint,Family,Lab,Type,USD/min @720p,Price basis,Max frames,Duration options,Quality options,Aspect ratios,Audio?,Start frame?,End frame?,Multi-cut?,Task,Lipsync?,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
nvidia/cosmos-3-super/image-to-video,Cosmos 3,NVIDIA,image-to-video,3.0,$0.05/s x 60s,189,0.2–7.9 s (via num_frames),fixed,inherits input image,No,Yes,No,No — single shot,generate,Yes — dialogue via prompt (native audio),"NVIDIA omnimodal world model — video, audio and action commands from text/image/video/trajectory inputs. Unique for robotics and simulation.","Aimed at world-modeling, not aesthetics; sparse documentation; niche.","Robotics/AV training data, action-conditioned world simulation, sensor-realistic edge-case generation.",Aesthetic content of any kind.
fal-ai/cosmos-predict-2.5/distilled/text-to-video,Cosmos Predict 2.5,NVIDIA,text-to-video,0.83,$0.08 per 5.812s video -> x60,93,0.4–3.9 s (via num_frames),"low, medium, high, maximum",fixed,No,No (text-only),No,No — single shot,generate,No,Physically grounded world simulation from NVIDIA; deterministic fixed output makes it reproducible.,"Fixed 1280x704 and 93 frames — no duration, resolution or aspect control at all; no audio.",Reproducible physics-grounded simulation clips for research pipelines.,Creative briefs — no format flexibility at all.
fal-ai/cosmos-predict-2.5/image-to-video,Cosmos Predict 2.5,NVIDIA,image-to-video,2.06,$0.2 per 5.812s video -> x60,93,0.4–3.9 s (via num_frames),"low, medium, high, maximum",inherits input image,No,Yes,No,No — single shot,generate,No,Physically grounded world simulation from NVIDIA; deterministic fixed output makes it reproducible.,"Fixed 1280x704 and 93 frames — no duration, resolution or aspect control at all; no audio.",Reproducible physics-grounded simulation clips for research pipelines.,Creative briefs — no format flexibility at all.
fal-ai/cosmos-predict-2.5/text-to-video,Cosmos Predict 2.5,NVIDIA,text-to-video,2.06,$0.2 per 5.812s video -> x60,93,0.4–3.9 s (via num_frames),"low, medium, high, maximum",fixed,No,No (text-only),No,No — single shot,generate,No,Physically grounded world simulation from NVIDIA; deterministic fixed output makes it reproducible.,"Fixed 1280x704 and 93 frames — no duration, resolution or aspect control at all; no audio.",Reproducible physics-grounded simulation clips for research pipelines.,Creative briefs — no format flexibility at all.
fal-ai/cosmos-predict-2.5/video-to-video,Cosmos Predict 2.5,,video-to-video,3.1,$0.2 per 3.875s video -> x60,93,0.4–3.9 s (via num_frames),"low, medium, high, maximum",fixed,No,No,No,No — single shot,edit/restyle,No,Physically grounded world simulation from NVIDIA; deterministic fixed output makes it reproducible.,"Fixed 1280x704 and 93 frames — no duration, resolution or aspect control at all; no audio.",Reproducible physics-grounded simulation clips for research pipelines.,Creative briefs — no format flexibility at all.
decart/lucy-2-5/realtime,Decart Lucy,Decart,video-to-video,2.4,$0.04/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,No — single shot,edit/restyle,No,Real-time class: 5-second i2v in under 5 seconds (>1x realtime) — the fastest i2v on fal.,Quality is traded for speed; 5s fixed; no audio or fine control.,"Real-time and latency-critical demos, live preview pipelines, >1x-realtime batch throughput.","Quality-led deliverables, fine-grained control."
decart/lucy-edit/pro,Decart Lucy,Decart,video-to-video,9.0,$0.15/s x 60s,,fixed / not exposed,720p,fixed,No,No,No,No — single shot,edit/restyle,No,Real-time class: 5-second i2v in under 5 seconds (>1x realtime) — the fastest i2v on fal.,Quality is traded for speed; 5s fixed; no audio or fine control.,"Real-time and latency-critical demos, live preview pipelines, >1x-realtime batch throughput.","Quality-led deliverables, fine-grained control."
decart/lucy-restyle,Decart Lucy,Decart,video-to-video,0.6,$0.01/s x 60s,,fixed / not exposed,720p,fixed,No,No,No,No — single shot,edit/restyle,No,Real-time class: 5-second i2v in under 5 seconds (>1x realtime) — the fastest i2v on fal.,Quality is traded for speed; 5s fixed; no audio or fine control.,"Real-time and latency-critical demos, live preview pipelines, >1x-realtime batch throughput.","Quality-led deliverables, fine-grained control."
decart/lucy2-vton/realtime,Decart Lucy,Decart,video-to-video,1.2,$0.02/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,No — single shot,edit/restyle,No,Real-time class: 5-second i2v in under 5 seconds (>1x realtime) — the fastest i2v on fal.,Quality is traded for speed; 5s fixed; no audio or fine control.,"Real-time and latency-critical demos, live preview pipelines, >1x-realtime batch throughput.","Quality-led deliverables, fine-grained control."
fal-ai/decart/lucy-5b/image-to-video,Decart Lucy,Decart,image-to-video,1.8,$0.15 per 5s video -> x60,120,5 s (fixed),fixed,inherits input image,No,No,No,No — single shot,generate,No,Real-time class: 5-second i2v in under 5 seconds (>1x realtime) — the fastest i2v on fal.,Quality is traded for speed; 5s fixed; no audio or fine control.,"Real-time and latency-critical demos, live preview pipelines, >1x-realtime batch throughput.","Quality-led deliverables, fine-grained control."
fal-ai/bytedance/dreamactor/v2,DreamActor,Bytedance,video-to-video,3.0,$0.05/s x 60s,,fixed / not exposed,fixed,fixed,No,Yes,No,No — single shot,edit/restyle,No,ByteDance motion transfer that handles non-human and multi-character subjects well — a genuine gap in most animation models.,$3/min; needs a clean driving performance.,"Animating creatures, mascots and group scenes from stills.","Single-human talking heads (cheaper avatar models win), scene generation."
fal-ai/editto,Editto,,video-to-video,4.8,$0.08/s x 60s,241,1.1–15.1 s (via num_frames),"auto, 240p, 360p, 480p, 580p, 720p","auto, 16:9, 1:1, 9:16",No,No,No,No — single shot,edit/restyle,No,Instruction-based video editing — describe the change in plain language.,New and thinly documented; $4.80/min with unclear failure modes.,Quick one-shot edits without mask preparation.,Precise or repeatable edits (VACE gives real control).
blackforestlabs/flux-3/draft-enhance,FLUX.3 Video,Black Forest Labs,video-to-video,17.4,$0.29/s x 60s,,fixed / not exposed,1080p (from docs),fixed,No,No,No,No — single shot,upscale/restore,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/extend-video,FLUX.3 Video,Black Forest Labs,video-to-video,24.6,$0.41/s x 60s,480,"auto, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15 (+5)","720p, 1080p","auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,No,No,No — single shot,extend,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/extend-video/draft,FLUX.3 Video,Black Forest Labs,video-to-video,7.2,$0.12/s x 60s,480,"auto, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15 (+5)",720p (from docs),"auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,No,No,No — single shot,upscale/restore,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/first-last-frame-to-video,FLUX.3 Video,Black Forest Labs,image-to-video,10.2,$0.17/s @720p x 60s,480,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 (+4) s","720p, 1080p","auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/first-last-frame-to-video/draft,FLUX.3 Video,Black Forest Labs,image-to-video,3.6,$0.06/s @720p x 60s,480,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 (+4) s",720p (from docs),"auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,Yes,Yes,No — single shot,generate,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/image-to-video,FLUX.3 Video,Black Forest Labs,image-to-video,10.2,$0.17/s @720p x 60s,480,"auto, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15 (+5)","720p, 1080p","auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,Yes,No,No — single shot,generate,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/image-to-video/draft,FLUX.3 Video,Black Forest Labs,image-to-video,3.6,$0.06/s @720p x 60s,480,"auto, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15 (+5)",720p (from docs),"auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,Yes,No,No — single shot,generate,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/keyframes-to-video,FLUX.3 Video,Black Forest Labs,image-to-video,10.2,$0.17/s @720p x 60s,480,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 (+4) s","720p, 1080p","auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,Yes (multi-image / reference),Yes (via keyframes),Partial — keyframe/element chaining,generate,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
blackforestlabs/flux-3/keyframes-to-video/draft,FLUX.3 Video,Black Forest Labs,image-to-video,3.6,$0.06/s @720p x 60s,480,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 (+4) s",720p (from docs),"auto, 21:9, 2:1, 16:9, 4:3, 1:1, 3:4, 9:16",Yes — native generation,Yes (multi-image / reference),Yes (via keyframes),Partial — keyframe/element chaining,generate,Yes — dialogue via prompt (native audio),"BFL's frontier multimodal model: strong facial expressiveness, sound-event association and multilingual speech, with a full control surface (t2v/i2v/first-last/keyframes) and cheap draft modes. Vendor evals claim wins over Kling v3 Pro and Ray 3.2.",Weeks old — the flattering comparisons are vendor-run with no published methodology; quality tier is pricey at 1080p; little community knowledge.,"Facial-expression-led performance shots, multilingual speech scenes, keyframe-controlled transitions, agent-chained sequences; draft-tier iteration graduating to quality-tier masters.","Battle-tested production (model is weeks old; the eval wins are vendor-run), community-tooling-dependent workflows."
