Endpoint,Family,Lab,Type,USD/min output,Price basis,Max duration s,Duration options,Voices,Languages,Voice clone?,Lyrics?,Audio input?,Output formats,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
bytedance/seed-audio-1.0,ByteDance Audio,Bytedance,sfx,0.1875,$0.1875/min,,model default,voice prop,—,No,No,Yes,"wav, mp3, pcm, ogg_opus",Seed-Audio 1.0 — ByteDance's general audio model.,Young.,Ecosystem experiments.,Committed pipelines.
fal-ai/bytedance/seed-speech/tts/v2,ByteDance Audio,Bytedance,tts,0.0225,$0.03/1k chars x ~750 chars/min speech,,follows text length,41 preset voices,10 languages,No,No,No,"mp3, opus",Seed-Audio 1.0 — ByteDance's general audio model.,Young.,Ecosystem experiments.,Committed pipelines.
cassetteai/music-generator,CassetteAI Music,Cassette AI,music,0.02,$0.02/min,180,10–180 s,—,—,No,No,No,default,Fast loop/track generation at $0.01-0.03 per clip.,Loop-grade quality.,Bulk background loops.,Featured music.
cassetteai/sound-effects-generator,CassetteAI SFX,Cassette AI,sfx,,$0.01 per request,30,1–30 s,—,—,No,No,No,default,Cheap one-shot SFX.,Basic.,Game jam assets.,Film-grade foley.
fal-ai/chatterbox/speech-to-speech,Chatterbox,Resemble AI,tts,0.015,$0.015/min,,follows text length,—,—,No,No,No,default,"Resemble's open TTS that beat ElevenLabs in blind tests (65% preference): zero-shot cloning from ~5s, emotion exaggeration control, HD tier.",English-centric; long-form stability needs chunking.,"Cloned narration at open-source cost, expressive character reads, s2s voice conversion.","40-language dubbing, CPU-only deployments."
fal-ai/chatterbox/text-to-speech,Chatterbox,Resemble AI,tts,0.0188,$0.025/1k chars x ~750 chars/min speech,,follows text length,—,—,Yes,No,Yes,default,"Resemble's open TTS that beat ElevenLabs in blind tests (65% preference): zero-shot cloning from ~5s, emotion exaggeration control, HD tier.",English-centric; long-form stability needs chunking.,"Cloned narration at open-source cost, expressive character reads, s2s voice conversion.","40-language dubbing, CPU-only deployments."
fal-ai/chatterbox/text-to-speech/multilingual,Chatterbox,Resemble AI,tts,0.0188,$0.025/1k chars x ~750 chars/min speech,,follows text length,voice prop,—,No,No,No,default,"Resemble's open TTS that beat ElevenLabs in blind tests (65% preference): zero-shot cloning from ~5s, emotion exaggeration control, HD tier.",English-centric; long-form stability needs chunking.,"Cloned narration at open-source cost, expressive character reads, s2s voice conversion.","40-language dubbing, CPU-only deployments."
resemble-ai/chatterboxhd/speech-to-speech,Chatterbox,Resemble AI,tts,0.02,$0.02/min,,follows text length,—,—,No,No,No,default,"Resemble's open TTS that beat ElevenLabs in blind tests (65% preference): zero-shot cloning from ~5s, emotion exaggeration control, HD tier.",English-centric; long-form stability needs chunking.,"Cloned narration at open-source cost, expressive character reads, s2s voice conversion.","40-language dubbing, CPU-only deployments."
resemble-ai/chatterboxhd/text-to-speech,Chatterbox,Resemble AI,tts,0.03,$0.04/1k chars x ~750 chars/min speech,,follows text length,9 preset voices,—,Yes,No,Yes,default,"Resemble's open TTS that beat ElevenLabs in blind tests (65% preference): zero-shot cloning from ~5s, emotion exaggeration control, HD tier.",English-centric; long-form stability needs chunking.,"Cloned narration at open-source cost, expressive character reads, s2s voice conversion.","40-language dubbing, CPU-only deployments."
fal-ai/deepfilternet3,DeepFilterNet,,a2a,0.06,$0.001/s x 60,,follows input audio,—,—,No,No,Yes,default,Real-time speech denoising.,Denoise only.,Podcast/call cleanup.,Generation.
fal-ai/demucs,Demucs,,a2a,0.042,$0.0007/s x 60,,follows input audio,—,—,No,No,Yes,"wav, mp3",The standard open stem-separation model.,Separation only.,"Karaoke/remix stems, mix analysis.",Generation.
fal-ai/dia-tts,Dia TTS,,tts,0.03,$0.04/1k chars x ~750 chars/min speech,,follows text length,—,—,No,No,No,default,Nari Labs' dialogue-native TTS — two-speaker scripts with laughs/coughs/interruptions.,"English only, no cloning, quirky stability.",Podcast-style two-hander scenes.,Corporate narration.
fal-ai/dia-tts/voice-clone,Dia TTS,,tts,0.03,$0.04/1k chars x ~750 chars/min speech,,follows text length,—,—,Yes,No,No,default,Nari Labs' dialogue-native TTS — two-speaker scripts with laughs/coughs/interruptions.,"English only, no cloning, quirky stability.",Podcast-style two-hander scenes.,Corporate narration.
fal-ai/diffrhythm,DiffRhythm,,music,0.06,$0.01/10s -> x60,,model default,—,—,Yes,Yes,Yes,default,"Open full-song diffusion (lyrics→song, fast).",Vocal artifacts.,Song prototypes locally.,Release-ready tracks.
fal-ai/elevenlabs/audio-isolation,ElevenLabs,ElevenLabs,a2a,0.1,$0.1/min,,follows input audio,—,—,No,No,Yes,default,"The polish benchmark: v3 expressiveness, robust multilingual TTS, dubbing, isolation and voice-changer endpoints on fal.",Premium pricing; v3 not realtime; cloning gated by plan.,"Client-facing narration, audiobooks, dubbing pipelines, voice cleanup.","Budget bulk TTS (open models are 10x cheaper), self-hosting."
fal-ai/elevenlabs/music,ElevenLabs,ElevenLabs,music,0.8,$0.8/min,,model default,—,—,No,No,No,"mp3_22050_32, mp3_44100_32, mp3_44100_64, mp3_44100_96, mp3_44100_128, mp3_44100_192, pcm_8000, pcm_16000, pcm_22050, pcm_24000, pcm_44100, pcm_48000, ulaw_8000, alaw_8000, opus_48000_32, opus_48000_64, opus_48000_96, opus_48000_128, opus_48000_192","The polish benchmark: v3 expressiveness, robust multilingual TTS, dubbing, isolation and voice-changer endpoints on fal.",Premium pricing; v3 not realtime; cloning gated by plan.,"Client-facing narration, audiobooks, dubbing pipelines, voice cleanup.","Budget bulk TTS (open models are 10x cheaper), self-hosting."
fal-ai/elevenlabs/text-to-dialogue/eleven-v3,ElevenLabs,ElevenLabs,sfx,0.075,$0.1/1k chars x ~750 chars/min speech,,model default,—,—,No,No,No,default,"The polish benchmark: v3 expressiveness, robust multilingual TTS, dubbing, isolation and voice-changer endpoints on fal.",Premium pricing; v3 not realtime; cloning gated by plan.,"Client-facing narration, audiobooks, dubbing pipelines, voice cleanup.","Budget bulk TTS (open models are 10x cheaper), self-hosting."
fal-ai/elevenlabs/tts/eleven-v3,ElevenLabs,ElevenLabs,tts,0.075,$0.1/1k chars x ~750 chars/min speech,,follows text length,voice prop,—,No,No,No,default,"The polish benchmark: v3 expressiveness, robust multilingual TTS, dubbing, isolation and voice-changer endpoints on fal.",Premium pricing; v3 not realtime; cloning gated by plan.,"Client-facing narration, audiobooks, dubbing pipelines, voice cleanup.","Budget bulk TTS (open models are 10x cheaper), self-hosting."
fal-ai/elevenlabs/tts/multilingual-v2,ElevenLabs,ElevenLabs,tts,0.075,$0.1/1k chars x ~750 chars/min speech,,follows text length,voice prop,—,No,No,No,default,"The polish benchmark: v3 expressiveness, robust multilingual TTS, dubbing, isolation and voice-changer endpoints on fal.",Premium pricing; v3 not realtime; cloning gated by plan.,"Client-facing narration, audiobooks, dubbing pipelines, voice cleanup.","Budget bulk TTS (open models are 10x cheaper), self-hosting."
fal-ai/elevenlabs/tts/turbo-v2.5,ElevenLabs,ElevenLabs,tts,0.0375,$0.05/1k chars x ~750 chars/min speech,,follows text length,voice prop,—,No,No,No,default,"The polish benchmark: v3 expressiveness, robust multilingual TTS, dubbing, isolation and voice-changer endpoints on fal.",Premium pricing; v3 not realtime; cloning gated by plan.,"Client-facing narration, audiobooks, dubbing pipelines, voice cleanup.","Budget bulk TTS (open models are 10x cheaper), self-hosting."
fal-ai/elevenlabs/voice-changer,ElevenLabs,ElevenLabs,a2a,0.3,$0.3/min,,follows input audio,voice prop,—,No,No,Yes,"mp3_22050_32, mp3_44100_32, mp3_44100_64, mp3_44100_96, mp3_44100_128, mp3_44100_192, pcm_8000, pcm_16000, pcm_22050, pcm_24000, pcm_44100, pcm_48000, ulaw_8000, alaw_8000, opus_48000_32, opus_48000_64, opus_48000_96, opus_48000_128, opus_48000_192","The polish benchmark: v3 expressiveness, robust multilingual TTS, dubbing, isolation and voice-changer endpoints on fal.",Premium pricing; v3 not realtime; cloning gated by plan.,"Client-facing narration, audiobooks, dubbing pipelines, voice cleanup.","Budget bulk TTS (open models are 10x cheaper), self-hosting."
fal-ai/elevenlabs/sound-effects/v2,ElevenLabs SFX,ElevenLabs,sfx,0.12,$0.002/s x 60,,model default,—,—,No,No,No,"mp3_22050_32, mp3_44100_32, mp3_44100_64, mp3_44100_96, mp3_44100_128, mp3_44100_192, pcm_8000, pcm_16000, pcm_22050, pcm_24000, pcm_44100, pcm_48000, ulaw_8000, alaw_8000, opus_48000_32, opus_48000_64, opus_48000_96, opus_48000_128, opus_48000_192",Text-to-SFX with production-grade punch.,Short one-shots; pricing per generation.,Foley and UI sounds on demand.,Long ambient beds.
fal-ai/f5-tts,F5-TTS,,tts,0.0375,$0.05/1k chars x ~750 chars/min speech,,follows text length,—,—,No,No,No,default,Open zero-shot cloning TTS with strong similarity.,Needs clean reference; English/Chinese focus.,Self-hosted cloning research.,Polished production.
fal-ai/gemini-3.1-flash-tts,Gemini TTS,Google,tts,0.1125,$0.15/1k chars x ~750 chars/min speech,,follows text length,30 preset voices,87 languages,No,No,No,"wav, mp3, ogg_opus",Gemini-native TTS with conversational control.,Token pricing; preview-grade.,Gemini-stack apps.,Fixed-cost bulk narration.
fal-ai/gemini-tts,Gemini TTS,Google,tts,,token-based,,follows text length,30 preset voices,87 languages,No,No,No,"wav, mp3, ogg_opus",Gemini-native TTS with conversational control.,Token pricing; preview-grade.,Gemini-stack apps.,Fixed-cost bulk narration.
fal-ai/lyria2,Google Lyria,Google,music,0.2,$0.1/30s -> x60,,model default,—,—,No,No,No,default,DeepMind-grade instrumental music (Lyria 2/3) with strong musicality per clip.,30s-class clips; no vocals; Google filters.,Score-quality beds and stingers.,"Full songs, vocal tracks."
fal-ai/lyria3,Google Lyria,Google,music,0.08,$0.04 per clip / 30s default -> $/min,,model default,—,—,No,No,No,default,DeepMind-grade instrumental music (Lyria 2/3) with strong musicality per clip.,30s-class clips; no vocals; Google filters.,Score-quality beds and stingers.,"Full songs, vocal tracks."
fal-ai/lyria3/pro,Google Lyria,Google,music,0.16,$0.08 per clip / 30s default -> $/min,180.0,model default,—,—,No,No,No,default,DeepMind-grade instrumental music (Lyria 2/3) with strong musicality per clip.,30s-class clips; no vocals; Google filters.,Score-quality beds and stingers.,"Full songs, vocal tracks."
fal-ai/index-tts-2/text-to-speech,IndexTTS,,tts,0.12,$0.002/s x 60,,follows text length,—,—,Yes,No,Yes,default,Bilibili's open TTS strong on Chinese prosody.,CJK-first.,Chinese narration.,English brand voices.
fal-ai/inworld-tts,Inworld TTS,Inworld,tts,0.0075,$0.01/1k chars x ~750 chars/min speech,,follows text length,113 preset voices,—,No,No,No,default,Game-NPC-oriented TTS with low latency.,Niche voice set.,Game dialogue at runtime.,Long narration.
fal-ai/kling-video/create-voice,Kling Audio,Kling,a2a,,$0.007 per request,,follows input audio,—,—,No,No,No,default,TTS + voice creation feeding Kling's video/avatar stack.,Basic vs dedicated TTS.,Voices for Kling avatar videos.,Standalone narration.
fal-ai/kling-video/v1/tts,Kling Audio,Kling,tts,,$0.007 per request,,follows text length,46 preset voices,—,No,No,No,default,TTS + voice creation feeding Kling's video/avatar stack.,Basic vs dedicated TTS.,Voices for Kling avatar videos.,Standalone narration.
fal-ai/kokoro/american-english,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,20 preset voices,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/kokoro/brazilian-portuguese,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,3 preset voices,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/kokoro/british-english,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,8 preset voices,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/kokoro/french,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,voice prop,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/kokoro/hindi,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,4 preset voices,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/kokoro/italian,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,2 preset voices,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/kokoro/japanese,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,5 preset voices,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/kokoro/mandarin-chinese,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,8 preset voices,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/kokoro/spanish,Kokoro,,sfx,0.015,$0.02/1k chars x ~750 chars/min speech,,model default,3 preset voices,—,No,No,No,default,"#1-per-parameter TTS: 82M params, Apache-2.0, near-instant CPU inference, 54 preset voices across 9 language lines on fal.",No voice cloning at all; expressiveness ceiling below big models.,"High-volume low-cost narration, edge/on-device speech, multilingual UI voices.","Brand voices, emotional acting, cloned identities."
fal-ai/ltx-2.3-quality/text-to-audio,LTX Audio,LTX,sfx,,,,model default,—,—,No,No,No,default,Audio tracks generated for/with LTX video.,Pricing copy on fal still shows video terms; audio-alone value unclear.,Soundtracks inside LTX video workflows.,Standalone audio.
fal-ai/ltx-2.3-quality/text-to-audio/lora,LTX Audio,LTX,sfx,,,,model default,—,—,No,No,No,default,Audio tracks generated for/with LTX video.,Pricing copy on fal still shows video terms; audio-alone value unclear.,Soundtracks inside LTX video workflows.,Standalone audio.
fal-ai/mmaudio-v2/text-to-audio,MMAudio,,sfx,0.06,$0.001/s x 60,30,1–30 s,—,—,No,No,No,default,Video-synchronized audio generation (open).,Rough fidelity.,Auto-foley research for video.,Music.
fal-ai/maya,Maya TTS,,tts,0.12,$0.002/s x 60,,follows text length,—,—,Yes,No,No,"wav, mp3",Emotion-tagged expressive TTS.,"Young model, small voice set.",Character dialogue with acted emotion.,Neutral corporate reads.
fal-ai/maya/batch,Maya TTS,,tts,0.12,$0.002/s x 60,,follows text length,—,—,Yes,No,No,"wav, mp3",Emotion-tagged expressive TTS.,"Young model, small voice set.",Character dialogue with acted emotion.,Neutral corporate reads.
fal-ai/maya/stream,Maya TTS,,tts,0.12,$0.002/s x 60,,follows text length,—,—,Yes,No,No,"mp3, wav, pcm",Emotion-tagged expressive TTS.,"Young model, small voice set.",Character dialogue with acted emotion.,Neutral corporate reads.
fal-ai/minimax-music,MiniMax Music,Minimax,music,,$0.035 per request,,model default,—,—,Yes,No,Yes,default,Full-song generation with vocals from lyrics + style prompts.,Less structural control than dedicated DAW workflows; artifacting on dense mixes.,"Demo songs, jingles, lyric-to-song prototypes.","Instrumental precision work, stems for mixing."
fal-ai/minimax-music/v1.5,MiniMax Music,Minimax,music,,$0.03 per request,,model default,—,—,No,No,No,default,Full-song generation with vocals from lyrics + style prompts.,Less structural control than dedicated DAW workflows; artifacting on dense mixes.,"Demo songs, jingles, lyric-to-song prototypes.","Instrumental precision work, stems for mixing."
fal-ai/minimax-music/v2,MiniMax Music,Minimax,music,,$0.03 per request,,model default,—,—,No,No,No,default,Full-song generation with vocals from lyrics + style prompts.,Less structural control than dedicated DAW workflows; artifacting on dense mixes.,"Demo songs, jingles, lyric-to-song prototypes.","Instrumental precision work, stems for mixing."
fal-ai/minimax-music/v2.5,MiniMax Music,Minimax,music,0.0375,$0.15 per clip / 240s default -> $/min,,model default,—,—,No,Yes,No,default,Full-song generation with vocals from lyrics + style prompts.,Less structural control than dedicated DAW workflows; artifacting on dense mixes.,"Demo songs, jingles, lyric-to-song prototypes.","Instrumental precision work, stems for mixing."
fal-ai/minimax-music/v2.6,MiniMax Music,Minimax,music,0.0375,$0.15 per clip / 240s default -> $/min,,model default,—,—,No,Yes,No,default,Full-song generation with vocals from lyrics + style prompts.,Less structural control than dedicated DAW workflows; artifacting on dense mixes.,"Demo songs, jingles, lyric-to-song prototypes.","Instrumental precision work, stems for mixing."
minimax/music-3,MiniMax Music,Minimax,music,0.12,$0.002/s x 60,300,1–300 s,—,—,No,Yes,No,default,Full-song generation with vocals from lyrics + style prompts.,Less structural control than dedicated DAW workflows; artifacting on dense mixes.,"Demo songs, jingles, lyric-to-song prototypes.","Instrumental precision work, stems for mixing."
fal-ai/minimax/preview/speech-2.5-hd,MiniMax Speech,Minimax,tts,0.075,$0.1/1k chars x ~750 chars/min speech,,follows text length,—,41 languages,No,No,No,"url, hex","Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/preview/speech-2.5-turbo,MiniMax Speech,Minimax,tts,0.045,$0.06/1k chars x ~750 chars/min speech,,follows text length,—,41 languages,No,No,No,"url, hex","Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/speech-02-hd,MiniMax Speech,Minimax,tts,0.075,$0.1/1k chars x ~750 chars/min speech,,follows text length,—,38 languages,No,No,No,"url, hex","Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/speech-02-turbo,MiniMax Speech,Minimax,tts,0.045,$0.06/1k chars x ~750 chars/min speech,,follows text length,—,38 languages,No,No,No,"url, hex","Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/speech-2.6-hd,MiniMax Speech,Minimax,tts,0.075,$0.1/1k chars x ~750 chars/min speech,,follows text length,—,38 languages,No,No,No,"url, hex","Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/speech-2.6-turbo,MiniMax Speech,Minimax,tts,0.045,$0.06/1k chars x ~750 chars/min speech,,follows text length,—,38 languages,No,No,No,"url, hex","Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/speech-2.8-hd,MiniMax Speech,Minimax,tts,0.075,$0.1/1k chars x ~750 chars/min speech,,follows text length,—,38 languages,No,No,No,"url, hex","Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/speech-2.8-turbo,MiniMax Speech,Minimax,tts,0.045,$0.06/1k chars x ~750 chars/min speech,,follows text length,—,38 languages,No,No,No,"url, hex","Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/voice-clone,MiniMax Speech,Minimax,tts,0.225,$0.3/1k chars x ~750 chars/min speech,,follows text length,—,—,Yes,No,Yes,default,"Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
fal-ai/minimax/voice-design,MiniMax Speech,Minimax,tts,,$3 flat per voice design,,follows text length,—,—,Yes,No,No,default,"Top-of-leaderboard TTS (2.6/2.8): 10-second voice cloning that speaks 40+ languages, emotional nuance, HD and Turbo tiers, voice design from text descriptions.",Cloning consent controls are on you; per-character billing adds up at audiobook scale.,"Voice agents, multilingual dubs from one clone, character voices for games/apps, expressive narration.","Free/self-hosted deployments (closed model), music."
mirelo-ai/sfx1.6/extend-audio,Mirelo SFX,Mirelo AI,a2a,0.6,$0.01/s x 60,,follows input audio,—,—,No,No,Yes,default,Video-aware SFX generation (sound matched to video content).,Niche; young model.,Auto-foley for generated video.,"Music, speech."
mirelo-ai/sfx1.6/inpaint-audio,Mirelo SFX,Mirelo AI,a2a,0.6,$0.01/s x 60,,follows input audio,—,—,No,No,Yes,default,Video-aware SFX generation (sound matched to video content).,Niche; young model.,Auto-foley for generated video.,"Music, speech."
mirelo-ai/sfx1.6/text-to-audio,Mirelo SFX,Mirelo AI,sfx,0.6,$0.01/s x 60,60,0.1–60 s,—,—,No,No,No,default,Video-aware SFX generation (sound matched to video content).,Niche; young model.,Auto-foley for generated video.,"Music, speech."
fal-ai/orpheus-tts,Orpheus TTS,,tts,0.0375,$0.05/1k chars x ~750 chars/min speech,,follows text length,8 preset voices,—,No,No,No,default,Open Llama-based TTS with emotive tags.,English-centric.,Expressive open-source reads.,Multilingual dubs.
fal-ai/personaplex,PersonaPlex,,a2a,,$0.001 flat per clip (length not exposed),,follows input audio,18 preset voices,—,No,No,Yes,default,Persona-conditioned conversational voice.,Early.,Voice-agent prototypes.,Broadcast polish.
