Endpoint,Family,Lab,Type,USD/image @1MP,Price basis,Max MP,Size options,Aspect ratios,Image input?,Mask/inpaint?,LoRA?,Style/ref?,Batch max,Strongest side,Weakest side,Strongest use-cases,Weakest use-cases
fal-ai/bria/expand,Bria,Bria AI,i2i,0.04,$0.04 per generation,,fixed,"1:1, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 9:16, 16:9",Yes,No,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/genfill,Bria,Bria AI,i2i,0.04,$0.04 per generation,,fixed,fixed,Yes,Yes,No,No,4,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/product-shot,Bria,Bria AI,i2i,0.04,$0.04 per generation,,fixed,fixed,Yes,No,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/reimagine,Bria,Bria AI,i2i,0.04,$0.04 per generation,,fixed,fixed,No,No,No,No,1,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/text-to-image/base,Bria,Bria AI,t2i,0.04,$0.04 per generation,,fixed,"1:1, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 9:16, 16:9",No,No,No,No,4,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/text-to-image/fast,Bria,Bria AI,t2i,0.028,$0.028 per generation,,fixed,"1:1, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 9:16, 16:9",No,No,No,No,4,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
fal-ai/bria/text-to-image/hd,Bria,Bria AI,t2i,0.04,$0.04 per generation,,fixed,"1:1, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 9:16, 16:9",No,No,No,No,4,Fully licensed training data with indemnification; solid commercial-safe generation and editing.,Quality a tier below the frontier; conservative outputs.,"Legal-sensitive enterprise work, stock-replacement imagery.",Edgy or highly stylized creative.
bria/fibo-bbq-preview/generate,Bria FIBO,Bria AI,t2i,0.04,$0.04 per image,,fixed,"1:1, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 9:16, 16:9",Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/add_object_by_text,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/blend,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/colorize,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/edit,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,Yes,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/erase_by_text,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/relight,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/replace_object_by_text,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/reseason,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/restore,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/restyle,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,Yes,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/rewrite_text,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-edit/sketch_to_colored_image,Bria FIBO,Bria AI,i2i,0.04,$0.04 per image,,fixed,fixed,Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo-lite/generate,Bria FIBO,Bria AI,t2i,0.036,$0.036 per image,,fixed,"1:1, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 9:16, 16:9",Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
bria/fibo/generate,Bria FIBO,Bria AI,t2i,0.04,$0.04 per image,,"1MP, 4MP","1:1, 2:3, 3:2, 3:4, 4:3, 4:5, 5:4, 9:16, 16:9",Yes,No,No,No,1,"JSON-native structured prompting trained on licensed data — repeatable, parameter-locked generation for enterprises.",Aesthetic ceiling below frontier consumer models.,"Regulated-industry creative, template-driven ad variants at scale.",One-off artistic exploration.
fal-ai/bernini-r/edit-image,ByteDance Image misc,Bytedance,i2i,0.03,$0.03/MP x 1MP,,fixed,fixed,Yes,No,No,No,1,Bernini-R image mode — renderer-grade editing.,Renderer-only limits.,Style transfer experiments.,Human-centric gen.
pixelcut/product-photo,E-commerce tools,Pixelcut,i2i,0.024,$0.024 per image,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,1,Product-photo staging (Pixelcut).,Template-bound.,Marketplace listing images.,Brand campaigns.
fal-ai/bagel,Edit specialists misc,,t2i,0.1,$0.1 per image,,fixed,fixed,No,No,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/bagel/edit,Edit specialists misc,,i2i,0.1,$0.1 per image,,fixed,fixed,Yes,No,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/chrono-edit,Edit specialists misc,,i2i,0.02,$0.02 per 720p image,,"480p, 720p",fixed,Yes,No,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/chrono-edit-lora,Edit specialists misc,,i2i,0.03,$0.03 per 720p image,,"480p, 720p",fixed,Yes,No,Yes,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/chrono-edit-lora-gallery/paintbrush,Edit specialists misc,,i2i,0.03,$0.03 per 720p image,,"480p, 720p",fixed,Yes,Yes,Yes,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/dreamomni2/edit,Edit specialists misc,,i2i,0.05,$0.05 per image,,fixed,fixed,Yes,No,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/firered-image-edit,Edit specialists misc,,i2i,0.0325,$0.0325 (parsed loosely),1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/firered-image-edit-v1.1,Edit specialists misc,FireRed,i2i,0.0325,$0.0325/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/flowedit,Edit specialists misc,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,No,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/hy-wu-edit,Edit specialists misc,,i2i,0.1,$0.1 (parsed loosely),1.1,"auto, square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/inpaint,Edit specialists misc,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,Yes,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/joyai-image-edit,Edit specialists misc,,i2i,0.1,$0.1/MP x 1MP,,fixed,fixed,Yes,No,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/lora/inpaint,Edit specialists misc,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,Yes,Yes,No,8,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/omni-zero,Edit specialists misc,,i2i,,billed per GPU compute-second,,fixed,fixed,Yes,No,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/stepx-edit2,Edit specialists misc,,i2i,0.2,$0.2/MP x 1MP,,fixed,fixed,Yes,No,No,No,1,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/uno,Edit specialists misc,,i2i,0.05,$0.05/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/uso,Edit specialists misc,,i2i,0.1,$0.1/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,"Single-purpose research editors (ChronoEdit, DreamOmni, StepX...) — some beat generalists on their niche.",Fragmented; per-model quirks.,Specific edit tasks after testing the exact model.,General-purpose editing.
fal-ai/ernie-image,Ernie Image,Baidu,t2i,0.03,$0.03/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9, square_uhd, portrait_3_2, landscape_3_2, portrait_hd, landscape_hd",via image_size,No,No,No,No,4,Baidu's generator with solid Chinese-language understanding.,Little independent evaluation; conservative outputs.,Chinese-market content.,Everything else — better-known peers exist.
fal-ai/ernie-image/lora,Ernie Image,Baidu,t2i,0.035,$0.035/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9, square_uhd, portrait_3_2, landscape_3_2, portrait_hd, landscape_hd",via image_size,No,No,Yes,No,4,Baidu's generator with solid Chinese-language understanding.,Little independent evaluation; conservative outputs.,Chinese-market content.,Everything else — better-known peers exist.
fal-ai/ernie-image/lora/turbo,Ernie Image,Baidu,t2i,0.015,$0.015/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9, square_uhd, portrait_3_2, landscape_3_2, portrait_hd, landscape_hd",via image_size,No,No,Yes,No,4,Baidu's generator with solid Chinese-language understanding.,Little independent evaluation; conservative outputs.,Chinese-market content.,Everything else — better-known peers exist.
fal-ai/ernie-image/turbo,Ernie Image,Baidu,t2i,0.01,$0.01/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9, square_uhd, portrait_3_2, landscape_3_2, portrait_hd, landscape_hd",via image_size,No,No,No,No,4,Baidu's generator with solid Chinese-language understanding.,Little independent evaluation; conservative outputs.,Chinese-market content.,Everything else — better-known peers exist.
fal-ai/flux-pro/v1.1,FLUX 1.1 Pro,Black Forest Labs,t2i,0.04,$0.04/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,No,No,4,Strong aesthetics-per-dollar with ultra/raw modes at 4MP.,Closed weights; superseded by FLUX.2 Pro for most briefs.,"Marketing stills, moodboards, quick premium drafts.",Editing workflows — it is generation-only.
fal-ai/flux-pro/v1.1-ultra,FLUX 1.1 Pro,Black Forest Labs,t2i,0.06,$0.06 per image,,fixed,"21:9, 16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16, 9:21",Yes,No,No,No,4,Strong aesthetics-per-dollar with ultra/raw modes at 4MP.,Closed weights; superseded by FLUX.2 Pro for most briefs.,"Marketing stills, moodboards, quick premium drafts.",Editing workflows — it is generation-only.
fal-ai/flux-pro/v1.1-ultra-finetuned,FLUX 1.1 Pro,Black Forest Labs,t2i,0.07,$0.07 per image,,fixed,"21:9, 16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16, 9:21",Yes,No,No,No,4,Strong aesthetics-per-dollar with ultra/raw modes at 4MP.,Closed weights; superseded by FLUX.2 Pro for most briefs.,"Marketing stills, moodboards, quick premium drafts.",Editing workflows — it is generation-only.
fal-ai/flux-pro/v1.1-ultra/redux,FLUX 1.1 Pro,Black Forest Labs,i2i,0.05,$0.05/MP x 1MP,,fixed,"21:9, 16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16, 9:21",Yes,No,No,No,4,Strong aesthetics-per-dollar with ultra/raw modes at 4MP.,Closed weights; superseded by FLUX.2 Pro for most briefs.,"Marketing stills, moodboards, quick premium drafts.",Editing workflows — it is generation-only.
fal-ai/flux-pro/v1.1/redux,FLUX 1.1 Pro,Black Forest Labs,i2i,0.05,$0.05/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,No,No,4,Strong aesthetics-per-dollar with ultra/raw modes at 4MP.,Closed weights; superseded by FLUX.2 Pro for most briefs.,"Marketing stills, moodboards, quick premium drafts.",Editing workflows — it is generation-only.
fal-ai/flux-control-lora-canny,FLUX ControlNet,Black Forest Labs,t2i,0.04,$0.04/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,Yes,No,4,Depth/canny-conditioned FLUX generation for layout-locked output.,Control fidelity below dedicated SDXL ControlNet stacks for some maps.,"Product-in-layout shots, architecture from linework, pose-locked characters.",Freeform creative generation.
fal-ai/flux-control-lora-canny/image-to-image,FLUX ControlNet,Black Forest Labs,i2i,0.04,$0.04/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,Yes,No,4,Depth/canny-conditioned FLUX generation for layout-locked output.,Control fidelity below dedicated SDXL ControlNet stacks for some maps.,"Product-in-layout shots, architecture from linework, pose-locked characters.",Freeform creative generation.
fal-ai/flux-control-lora-depth,FLUX ControlNet,Black Forest Labs,t2i,0.04,$0.04/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,Yes,No,4,Depth/canny-conditioned FLUX generation for layout-locked output.,Control fidelity below dedicated SDXL ControlNet stacks for some maps.,"Product-in-layout shots, architecture from linework, pose-locked characters.",Freeform creative generation.
fal-ai/flux-control-lora-depth/image-to-image,FLUX ControlNet,Black Forest Labs,i2i,0.04,$0.04/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,Yes,No,Yes,No,4,Depth/canny-conditioned FLUX generation for layout-locked output.,Control fidelity below dedicated SDXL ControlNet stacks for some maps.,"Product-in-layout shots, architecture from linework, pose-locked characters.",Freeform creative generation.
fal-ai/flux-kontext-lora,FLUX Kontext,Black Forest Labs,i2i,0.035,$0.035/MP x 1MP,,fixed,fixed,Yes,No,Yes,No,4,In-context editing with plain-language instructions on FLUX quality; dev/pro/max tiers.,Single-image focus; complex multi-step edits drift; superseded by FLUX.2 edit modes.,"One-shot object swaps, restyles, text replacement in existing images.","Multi-image composition, identity-across-scenes work."
fal-ai/flux-kontext-lora/inpaint,FLUX Kontext,Black Forest Labs,i2i,0.035,$0.035/MP x 1MP,,fixed,fixed,Yes,Yes,Yes,No,4,In-context editing with plain-language instructions on FLUX quality; dev/pro/max tiers.,Single-image focus; complex multi-step edits drift; superseded by FLUX.2 edit modes.,"One-shot object swaps, restyles, text replacement in existing images.","Multi-image composition, identity-across-scenes work."
fal-ai/flux-kontext-lora/text-to-image,FLUX Kontext,Black Forest Labs,t2i,0.035,$0.035/MP x 1MP,1.1,"square_hd, square, portrait_4_3, portrait_16_9, landscape_4_3, landscape_16_9",via image_size,No,No,Yes,No,4,In-context editing with plain-language instructions on FLUX quality; dev/pro/max tiers.,Single-image focus; complex multi-step edits drift; superseded by FLUX.2 edit modes.,"One-shot object swaps, restyles, text replacement in existing images.","Multi-image composition, identity-across-scenes work."
fal-ai/flux-kontext/dev,FLUX Kontext,Black Forest Labs,i2i,0.025,$0.025/MP x 1MP,,fixed,fixed,Yes,No,No,No,4,In-context editing with plain-language instructions on FLUX quality; dev/pro/max tiers.,Single-image focus; complex multi-step edits drift; superseded by FLUX.2 edit modes.,"One-shot object swaps, restyles, text replacement in existing images.","Multi-image composition, identity-across-scenes work."
fal-ai/flux-pro/kontext,FLUX Kontext,Black Forest Labs,i2i,0.04,$0.04 per image,,fixed,"21:9, 16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16, 9:21",Yes,No,No,No,4,In-context editing with plain-language instructions on FLUX quality; dev/pro/max tiers.,Single-image focus; complex multi-step edits drift; superseded by FLUX.2 edit modes.,"One-shot object swaps, restyles, text replacement in existing images.","Multi-image composition, identity-across-scenes work."
fal-ai/flux-pro/kontext/max,FLUX Kontext,Black Forest Labs,i2i,0.08,$0.08 per image,,fixed,"21:9, 16:9, 4:3, 3:2, 1:1, 2:3, 3:4, 9:16, 9:21",Yes,No,No,No,4,In-context editing with plain-language instructions on FLUX quality; dev/pro/max tiers.,Single-image focus; complex multi-step edits drift; superseded by FLUX.2 edit modes.,"One-shot object swaps, restyles, text replacement in existing images.","Multi-image composition, identity-across-scenes work."
